All,Todos
"The import model can't be initialized. Verify the model and try again.","El modelo de importación no puede ser inicializado. Verifica el modelo y vuelva a intentarlo."
"The current module XML block name is undefined.","El actual nombre del bloque módulo XML está indefinido."
"The current module form model pathname is undefined.","El pathname del modulo de forma actual esta indefinido."
"Use helper with defined EAV entity.","Usar helper con entidad EAV definida."
"Default EAV Form","Formulario EAV predeterminado"
"Please correct the values for minimum and maximum text length validation rules.","Por favor corrige los valores para las reglas de validación de longitud mínima y máxima de texto."
"Please correct the values for minimum and maximum date validation rules.","Por favor corrige los valores para las reglas de validación de fecha mínima y máxima."
"Text Field","Campo de texto"
"Text Area","Área de texto"
"Multiple Line","Línea múltiple"
Yes/No,Sí/No
"File (attachment)","Archivo (adjunto)"
"Image File","Archivo de imagen"
Alphanumeric,Alfanumérico
"Numeric Only","Sólo numérico"
"Alpha Only","Sólo alfanumérico"
"Strip HTML Tags","Eliminar etiquetas HTML"
"Escape HTML Entities","Escapar de entidades HTML"
"Normalize Date","Normalizar la fecha"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","El código del atributo no es válido. Por favor, usa solo letras (a-z), números (0-9) o guion bajo (_) en este campo. El primer carácter debe ser una letra."
"Please correct the value for file extensions.","Por favor, corrija el valor de las extensiones de archivo."
"Alphanumeric with spaces","Alfanuméricos con espacios"
"You are subscribed to our newsletter.","Está suscrito a nuestro boletín de noticias."
"You aren't subscribed to our newsletter.","No está suscrito a nuestro boletín de noticias."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"Address Book","Libreta de direcciones"
"Edit Address","Editar dirección"
"Add New Address","Agregar nueva dirección"
region,región
"Save Customer","Guardar cliente"
"Reset Password","Restablecer contraseña"
"Are you sure you want to revoke the customer's tokens?","¿Está seguro que desea revocar el token del cliente?"
"Force Sign-In","Forzar inicio de sesión"
"New Customer","Nuevo cliente"
"Shopping Cart from %1","Carrito de la compra de %1"
Newsletter,"Boletín de noticias"
"Newsletter Information","Boletín Información"
"Subscribed to Newsletter","Suscrito al boletín de noticias"
"Last Date Subscribed","Última fecha de suscripción"
"Last Date Unsubscribed","Última fecha de baja"
"No Newsletter Found","Boletín informativo no encontrado"
"Start date","Fecha de inicio"
"Receive Date","Fecha de recepción"
Subject,Asunto
Sent,Enviado
"Not Sent","No enviado"
Sending,Enviando
Paused,Pausado
Unknown,Desconocido
"Bill-to Name","Nombre de facturación"
"Ship-to Name","Nombre de envío"
"Purchase Point","Punto de compra"
"There are no items in customer's shopping cart.","No hay productos en la cesta de la compra del cliente."
Confirmed,Confirmado
"Confirmation Required","Confirmación necesaria"
"Confirmation Not Required","Confirmación no necesaria"
Indeterminate,Indeterminado
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
Offline,"Fuera de línea"
Online,"En línea"
Never,Nunca
Unlocked,Desbloqueado
Locked,Bloqueado
"Deleted Stores","Tiendas eliminadas"
"Add Locale","Agregar configuración regional"
"Add Date","Añadir fecha"
"Days in Wish List","Días en favoritos"
Unlock,Desbloquear
"Delete Image","Eliminar imagen"
"View Full Size","Ver tamaño completo"
"All countries","Todos los países"
"Add New Customer Group","Nuevo grupo de clientes"
"Save Customer Group","Guardar grupo de clientes"
"Delete Customer Group","Borrar grupo de clientes"
"New Customer Group","Nuevo grupo de clientes"
"Edit Customer Group ""%1""","Editar grupo del cliente ""%1"""
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Maximum length must be less then %1 characters.","Longitud máxima debe ser menor de %1 caracteres."
"Tax Class","Grupo de tributación"
"The customer is now assigned to Customer Group %s.","El cliente está ahora asignado al grupo de clientes %s."
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"The VAT ID is valid.","El ID de IVA es válido."
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The VAT ID is valid but no Customer Group is assigned for it.","El identificador de IVA es válido pero no se encuentra asignado a ningún grupo de Clientes."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Basado en el ID del IVA, el cliente pertenece al grupo de clientes %s."
"Something went wrong while validating the VAT ID.","Se produjo un error al validar la ID del IVA."
"The customer would belong to Customer Group %s.","El cliente pertenecería al grupo de clientes %s."
"There was an error detecting Customer Group.","Hubo un error al detectar Grupo de Clientes."
"Validate VAT Number","Validar número de IVA"
"Customer Login","Inicio de sesión de cliente"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Date of Birth","Fecha de nacimiento"
"Bad request.","Solicitud incorrecta."
"This confirmation key is invalid or has expired.","Esta clave de confirmación no es válido o ha caducado."
"There was an error confirming the account","Hubo un problema al confirmar la cuenta"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"Thank you for registering with %1.","Gracias por registrarse en %1."
"Please check your email for confirmation key.","Por favor, revise su correo electrónico y busque la clave de confirmación. "
"This email does not require confirmation.","Este mensaje de correo electrónico no requiere confirmación."
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Este correo ya tiene una cuenta activa, si olvidaste tu contraseña la puedes recuperar dando <a href=""%1"">click aquí</a>."
"We can't save the customer.","No se puede guardar al cliente."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1""> aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Si eres un cliente registrado de IVA, por favor haga clic <a href=""%1"">aquí</a> para ingresar su dirección de envío para el adecuado cálculo del IVA."
"You saved the account information.","Ha guardado la información de cuenta."
"Password confirmation doesn't match entered password.","La confirmación de la contraseña no coincide con la contraseña introducida."
"The password doesn't match this account.","La contraseña no coincide con la de esta cuenta."
"Please correct the email address.","Por favor, corregir el email."
"We're unable to send the password reset email.","No se puede enviar el correo electrónico para restablecer la contraseña."
"Please enter your email.","Por favor, introduzca su dirección de correo electrónico."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si hay una cuenta asociada a %1 recibirá un correo electrónico con un enlace para restablecer tu contraseña."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Esta cuenta no está confirmada. <a href=""%1"">haga clic aquí</a> para enviar correo electrónico de confirmación."
"An unspecified error occurred. Please contact us for assistance.","Se produjo un error no especificado. Póngase en contacto con nosotros para obtener ayuda."
"A login and a password are required.","Se requieren nombre de usuario y contraseña."
"New Password and Confirm New Password values didn't match.","Los valores de ""Nueva contraseña"" y ""confirmar nueva contraseña"" no coinciden."
"Please enter a new password.","Por favor, introduzca una nueva contraseña."
"You updated your password.","Actualizó su contraseña."
"Something went wrong while saving the new password.","Algo salió mal al guardar la nueva contraseña."
"You deleted the address.","Borró la dirección."
"We can't delete the address right now.","No se puede eliminar la dirección en este momento."
"You saved the address.","Guardó la dirección."
"We can't save the address.","No se puede guardar la dirección."
"No customer ID defined.","Ningún ID de cliente definido."
"Please correct the quote items and try again.","Por favor, corrija los campos de cita y vuelve a intentarlo."
"You have revoked the customer's tokens.","Revocaste los tokens del cliente."
"We can't find a customer to revoke.","No se puede encontrar un cliente para revocar."
"Something went wrong while saving file.","Algo salió mal al guardar el archivo."
"You deleted the customer group.","Ha eliminado el grupo de clientes."
"The customer group no longer exists.","El grupo de clientes, ya no existe."
"New Group","Nuevo grupo"
"New Customer Groups","Nuevos grupos de clientes"
"Edit Group","Editar grupo"
"Edit Customer Groups","Editar grupos del cliente"
"You saved the customer group.","Guardaste el grupo de clientes."
"Please select customer(s).","Bitte wählen Sie entsprechende Kunden aus."
"Customer could not be deleted.","No se pudo eliminar al cliente."
"You deleted the customer.","Ha eliminado el cliente."
"Something went wrong while editing the customer.","Algo salió mal durante la edición del cliente."
"Manage Customers","Gestionar clientes"
"The customer will receive an email with a link to reset password.","El cliente recibirá un correo electrónico con un enlace para restablecer contraseña."
"Something went wrong while resetting customer password.","Algo salió mal al restablecer la contraseña de cliente."
"You saved the customer.","Ha guardado el cliente."
"Something went wrong while saving the customer.","Algo salió mal al guardar el cliente."
"Customer has been unlocked successfully.","Cliente ha sido desbloqueado con éxito."
"Online Customers","Clientes en línea"
"Customers Now Online","Los clientes ahora en línea"
"Please define Wish List item ID.","Defina el ID del artículo de la Lista de Deseos."
"Please load Wish List item.","Por favor cargar elemento de la lista de deseos."
"Login successful.","Inicio de sesión exitoso."
"""%1"" section source is not supported","no se admite la fuente de la sección ""%1"""
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 no extiende a \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No se necesita la confirmación."
"Account already active","Cuenta ya activa"
"Invalid confirmation token","Token de confirmación no válido"
"The account is locked.","Tu cuenta está bloqueada."
"This account is not confirmed.","Esta cuenta no está confirmada."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Valor no válido de ""%value"" para el campo %fieldName. Valores posibles:%template1 o %template2."
"Please enter a password with at most %1 characters.","Por favor, introduzca una contraseña con un máximo de 1% caracteres."
"Please enter a password with at least %1 characters.","Por favor, introduzca una contraseña con al menos %1 caracteres."
"The password can't begin or end with a space.","La contraseña no puede comenzar ni terminar con un espacio."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Mínimo de las diferentes clases de caracteres en la contraseña es %1. Las clases de caracteres son: minúsculas, mayúsculas, números, caracteres especiales."
"Password cannot be the same as email address.","La contraseña no puede ser la misma que la dirección de correo electrónico."
"This customer already exists in this store.","Este cliente ya existe en esta tienda."
"A customer with the same email already exists in an associated website.","Un cliente con el mismo correo electrónico ya existe en un sitio web asociado."
"Reset password token mismatch.","El Token para restablecer contraseña no coincide."
"Reset password token expired.","El Token para restablecer contraseña caducó."
"Please correct the transactional account email type.","Por favor, corrija el tipo de cuenta de correo electrónico transaccional."
"""%1"" is a required value.","""%1"" es un valor necesario."
Global,General
"Per Website","Por sitio web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","No podemos compartir cuentas de clientes a nivel global cuando las cuentas comparten direcciones de correo electrónico idénticos en más de una página web."
"Please enter a valid password reset token.","Introduzca un token para restablecer contraseña válido."
"The password can not begin or end with a space.","La contraseña no puede comenzar ni terminar con un espacio."
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Sin entidad con %fieldName = %fieldValue, %field2Name = %field2Value"
"Unable to create directory %1.","No se puede crear el directorio: %1."
"Destination folder is not writable or does not exists.","La carpeta de destino no existe o no se puede escribir en ella."
"Something went wrong while saving the file.","Algo salió mal al guardar el archivo."
"Attribute object is undefined","Objeto de campo indefinido"
"""%1"" invalid type entered.","""%1"" tipo introducido inválido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caracteres que no son números ni letras."
"""%1"" is an empty string.","""%1"" es una cadena vacía."
"""%1"" contains non-numeric characters.","""%1"" contiene caracteres no numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caracteres no alfabéticos."
"""%1"" is not a valid email address.","""%1"" no es una dirección válida de email."
"""%1"" is not a valid hostname.","""%1"" no es un nombre de host válido."
"""%1"" uses too many characters.","""%1"" utiliza demasiados caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' se parece a una dirección IP, que no es un formato aceptable."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' parece ser un nombre de host DNS, pero contiene un guión en una posición no válida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' parece ser un nombre de host DNS, pero no podemos coincidir con el esquema de nombre de host para TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' como un nombre de host DNS pero no se puede extraer parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' no parece ser un nombre válido de red local."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' se ve como un nombre de red local, que no es un formato aceptable."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser un nombre de servidor DNS pero no se puede descifrar la notación del Punycode introducido."
"""%1"" is not a valid URL.","""%1"" no es una dirección URL válida."
"""%1"" is not a valid date.","""%1"" no es una fecha válida."
"""%1"" does not fit the entered date format.","""%1"" no se ajusta al formato de fecha introducido."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduzca una fecha válida entre %1 y %2 en %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduzca una fecha válida igual o mayor que %1 en %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduzca una fecha válida menos o igual a %1 en %2."
"""%1"" is not a valid file extension.","""%1"" no es una extensión de archivo válida."
"""%1"" is not a valid file.","""%1"" no es un archivo válido."
"""%1"" exceeds the allowed file size.","""%1"" supera el tamaño de archivo permitido."
"""%1"" is not a valid image format.","""%1"" no es un formato de imagen válido."
"""%1"" width exceeds allowed value of %2 px.","""%1"" ancho excede el valor permitido de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede el valor permitido de %2 px."
"""%1"" length must be equal or greater than %2 characters.","La longitud de ""%1"" debe ser igual o mayor que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","La longitud de ""%1"" debe ser igual o menor que %2 caracteres."
"Please enter a customer email.","Por favor, introduzca un email de cliente."
"A customer website ID must be specified when using the website scope.","Un ID de cliente web se debe especificar utilizando el alcance del sitio Web."
"You can't delete group ""%1"".","No se puede eliminar el grupo ""%1""."
"Customer Group already exists.","Grupo de clientes ya existe."
"Cannot delete group.","No se puede eliminar el grupo."
"Error during VAT Number verification.","Error durante la verificación del número VAT."
"PHP SOAP extension is required.","Se requiere la extensión PHP SOAP"
"VAT Number is valid.","Número de VAT es inválido."
"Please enter a valid VAT number.","Especifique un número TAX/VAT válido."
"Your VAT ID was successfully validated.","Su ID de IVA se ha validado correctamente."
"You will be charged tax.","Se le cargarán los impuestos."
"You will not be charged tax.","No se le cargarán los impuestos."
"The VAT ID entered (%1) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"Your Tax ID cannot be validated.","Su ID de impuestos no se ha podido validar."
"If you believe this is an error, please contact us at %1","Si usted cree que esto es un error, por favor contáctenos en %1"
Male,Masculino
Female,Femenino
"Not Specified","No especificado"
"Thank you for registering with","Gracias por registrarse con"
"enter your billing address for proper VAT calculation","introduzca su dirección de facturación para el adecuado cálculo del IVA"
"enter your shipping address for proper VAT calculation","introduzca su dirección de envío para el adecuado cálculo del IVA"
"Please enter new password.","Por favor, introduzca una nueva contraseña."
"Validator Exception","Excepción de validador"
"Localized Exception","Excepción localizada"
"NOT LOGGED IN","NO CONECTADO"
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"region is a required field.","región es un campo obligatorio."
"regionId is a required field.","regionId es un campo obligatorio."
Label,Etiqueta
Visitor,Visitante
"Personal Information","Información Personal"
"Last Logged In:","Último inicio de sesión:"
"Last Logged In (%1):","Última sesión iniciada (%1):"
"Account Lock:","Bloqueo de cuenta:"
"Confirmed email:","Email confirmado:"
"Account Created:","Cuenta creada:"
"Account Created on (%1):","Cuenta creada en (%1):"
"Account Created in:","Cuenta creada en:"
"Customer Group:","Grupo de cliente:"
"Default Billing Address","Dirección de facturación por defecto"
"Sales Statistics","Estadísticas de Ventas"
"Average Sale","Venta promedio"
"Manage Addresses","Gestionar direcciones"
"Default Shipping Address","Dirección de envío predeterminada"
"Contact Information","Información del contacto"
"Change Password","Cambiar la contraseña"
Newsletters,"Boletines informativos"
"You are subscribed to ""General Subscription"".","Estás suscrito a ""Suscripción general""."
"Default Addresses","Direcciones (predeterminado)"
"Change Billing Address","Cambiar la dirección de facturación"
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"Change Shipping Address","Cambiar la dirección de envío"
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Delete Address","Borrar dirección"
"Street Address %1","Dirección %1"
"It's a default billing address.","Es una dirección de facturación predeterminada."
"Use as my default billing address","Utilice como mi dirección de facturación por defecto"
"It's a default shipping address.","Es una dirección de envío predeterminada."
"Use as my default shipping address","Utilice como mi dirección de envío predeterminada"
"Go back",Retroceder
"Please enter your email below and we will send you the confirmation link.","Introduce tu email debajo y te enviaremos el enlace de confirmación."
"Send confirmation link","Enviar enlace de confirmación"
"Back to Sign In","Volver a iniciar sesión"
"Change Email","Cambiar correo electrónico"
"Change Email and Password","Cambiar Email y contraseña"
"Current Password","Contraseña actual"
"Password Strength","Fuerza de la contraseña"
"No Password","Sin contraseña"
"Confirm New Password","Confirmar contraseña nueva"
"Please enter your email address below to receive a password reset link.","Por favor introduzca su dirección de correo electrónico para recibir un enlace de restablecimiento de contraseña."
"Reset My Password","Restablecer mi contraseña"
"Registered Customers","Clientes registrados"
"If you have an account, sign in with your email address.","Si tiene una cuenta, inicie sesión con su dirección de correo electrónico."
"Subscription option","Opciones de suscripción"
"General Subscription","Suscripción general"
"Sign Up for Newsletter","Suscribirse al boletín"
"Address Information","Información de dirección"
"Sign-in Information","Información de inicio de sesión"
"Confirm Password","Confirmar contraseña"
"Set a New Password","Establecer nueva contraseña"
"You have signed out and will go to our homepage in 5 seconds.","Usted ha cerrado la sesión y irá a su página de inicio en 5 segundos."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios: Pago más rápido, guardar más de una dirección, seguimiento de pedidos y mucho más."
"Tax/VAT number","Número de IVA/impuestos"
"Welcome to %store_name","Bienvenido a %store_name"
"Welcome to %store_name.","Bienvenido a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para iniciar sesión, utiliza estas credenciales durante el proceso de compra o en la página <a href=""%customer_url"">Mi cuenta</a>:"
Email:,"Correo electrónico:"
Password:,Contraseña:
"Password you set when creating account","Contraseña que ingresaste al crear la cuenta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","¿Olvidó la contraseña de su cuenta? Haga clic <a href=""%reset_url""> aquí</a> para restablecerla."
"Proceed through checkout faster","Procede a través del checkout más rápido"
"Check the status of orders","Compruebe el estado de los pedidos"
"View past orders","Ver órdenes anteriores"
"Store alternative addresses (for shipping to multiple family members and friends)","Almacenar direcciones alternativas (para el envío a varios miembros de la familia y amigos)"
"Please confirm your %store_name account","Por favor confirma tu cuenta de %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Usted debe confirmar su correo electrónico %customer_email antes de firmarlo (el link sólo es válido una vez):"
"Confirm Your Account","Confirmar tu cuenta"
"Thank you for confirming your %store_name account.","Gracias por confirmar tu cuenta en %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Para ingresar a nuestro sitio y establecer una contraseña, haga clic en el siguiente <a href=""%create_password_url""> enlace</a>:"
"Your %store_name email has been changed","Ha cambiado su correo electrónico %store_name"
"Hello,","Hola,"
"We have received a request to change the following information associated with your account at %store_name: email.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Si usted no ha autorizado esta acción, por favor contáctenos inmediatamente a <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o llámenos al <a href=""tel:%store_phone""> %store_phone</a>"
"Thanks,<br>%store_name","Gracias,<br> %store_name"
"Your %store_name email and password has been changed","Se ha cambiado su correo electrónico %store_name  y contraseña."
"We have received a request to change the following information associated with your account at %store_name: email, password.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"Reset your %store_name password","Reestablece tu contraseña de %store_name"
"There was recently a request to change the password for your account.","Recientemente hubo una solicitud para cambiar la contraseña de su cuenta."
"If you requested this change, set a new password here:","Si solicitó este cambio, establecer una nueva contraseña aquí:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Si no haces esta solicitud, puede pasar por alto este correo electrónico y su contraseña seguirá siendo la misma."
"Your %store_name password has been changed","Se ha cambiado su contraseña de  %store_name "
"We have received a request to change the following information associated with your account at %store_name: password.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"Checkout as a new customer","Pagar como nuevo cliente"
"Creating an account has many benefits:","Crear una cuenta tiene muchos beneficios:"
"See order and shipping status","Ver estado de orden y envío"
"Track order history","Rastrear Historial de Orden"
"Check out faster","Comprar más rápidamente"
"Checkout using your account","Pagar usando su cuenta"
"Are you sure you want to delete this address?","¿Realmente quiere borrar esta dirección?"
Weak,Débil
Medium,Medio
Strong,Fuerte
"Very Strong","Muy fuerte"
"All Customers","Todos los clientes"
"Now Online","Ahora en línea"
"Customers Section","Sección de clientes"
"Customer Configuration","Configuración del cliente"
"Account Sharing Options","Cuenta Opciones para compartir"
"Share Customer Accounts","Compartir cuentas de cliente"
"Create New Account Options","Crear nuevas opciones para una cuenta"
"Enable Automatic Assignment to Customer Group","Habilitar la asignación automática al grupo de clientes"
"Tax Calculation Based On","Cálculo tributario basado en"
"Default Group","Grupo (predeterminado)"
"Group for Valid VAT ID - Domestic","Grupo para ID del IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para ID del IVA válido - Intraunión"
"Group for Invalid VAT ID","Grupo para ID del IVA no válido"
"Validation Error Group","Error de validación al grupo"
"Validate on Each Transaction","Validar en cada transacción"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor para Disable Automatic Group Changes Based on VAT ID (predeterminado)"
"Show VAT Number on Storefront","Mostrar el número VAT en el Frontend"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Para mostrar número de IVA en tienda, establezca mostrar número de IVA en la opción de la tienda en sí."
"Default Email Domain","Dominio de correo electrónico (predeterminado)"
"Default Welcome Email","Correo de bienvenida (predeterminado)"
"Default Welcome Email Without Password","Correo de bienvenida sin contraseña predeterminado"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Este correo electrónico se enviará en lugar del Correo electrónico de bienvenida predeterminado, si se creó un cliente sin contraseña.<br /><br />
                        Plantilla de correo electrónico elegida en función de la devolución del tema cuando se selecciona la opción ""Predeterminado""."
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Confirmation Link Email","Enlace de confirmación para el correo electrónico"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Este correo electrónico se enviará en lugar del correo electrónico de bienvenida predeterminado, después de la confirmación de la cuenta.<br /><br />
                        Plantilla de correo electrónico elegida en función de la devolución del tema cuando se selecciona la opción ""Predeterminado""."
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Password Options","Opciones de contraseña"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Remind Email Template","Plantilla para el correo electrónico de recordatorio"
"Reset Password Template","Plantilla para restablecer contraseña"
"Password Template Email Sender","Remitente de email para plantilla de Password"
"Number of Required Character Classes","Número de clases de caracteres requerido"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Número de clases de personajes diferentes en contraseña: minúsculas, mayúsculas, dígitos, caracteres especiales."
"Minimum Password Length","Longitud mínima de la contraseña"
"Maximum Login Failures to Lockout Account","Cantidad de fallas máximas de inicio de sesión para bloquear cuenta"
"Use 0 to disable account locking.","Utilice 0 para desactivar el bloqueo de cuenta."
"Lockout Time (minutes)","Tiempo de bloqueo (minutos)"
"Enable Autocomplete on login/forgot password forms","Habilitar Autocompletar en formularios login/olvido de contraseña"
"Account Information Options","Opciones de información de cuenta"
"Change Email Template","Cambiar plantilla de correo electrónico"
"Change Email and Password Template","Cambiar la plantilla de correo electrónico y contraseña"
"Name and Address Options","Opciones de nombre y dirección"
"Number of Lines in a Street Address","Cantidad de líneas de la dirección"
"Valid range: 1-4","Rango válido 1-4"
"Show Prefix","Mostrar prefijo"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"Prefix Dropdown Options","Opciones para listas desplegables con prefijo"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Punto y coma (;) para valores separados.<br/>Deje en blanco para campo de texto abierto."
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Always optional.","Siempre opcional"
"Show Suffix","Mostrar sufijo"
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, etc.)"
"Suffix Dropdown Options","Opciones para listas desplegables con sufijo"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Show Gender","Mostrar Sexo"
"Show Telephone","Mostrar teléfono"
"Show Company","Mostrar empresa"
"Show Fax","Mostrar Fax"
"Login Options","Opciones para el acceso"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se elige «No»."
"Address Templates","Plantillas para direcciones"
"Online Customers Options","Opciones para clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Leave empty for default (15 minutes).","Dejar en blanco para tomar el valor por defecto (15 minutos)."
"Customer Data Lifetime","Duración de datos cliente"
"Please specify value in minutes.","Especifique un número válido de minutos."
"Customer Notification","Notificacion de cliente"
"Assign a Customer Group","Asignar un grupo de clientes"
"Are you sure to assign selected customers to new group?","¿Está seguro que desea asignar a clientes seleccionados al nuevo grupo?"
"Customer Grid","Cuadrícula de cliente"
"Rebuild Customer grid index","Reconstruir el índice de red de cliente"
Group,Grupo
"Add New Customer","Nuevo cliente"
"Are you sure to delete selected customers?","¿Está seguro de borrar a los clientes seleccionados?"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Are you sure to unsubscribe selected customers from newsletter?","¿Está seguro de dar de baja a clientes seleccionados de newsletter?"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Customer Since","Cliente desde"
"Confirmed email","Correo electrónico confirmado"
"Account Created in","Cuenta creada en"
"Tax VAT Number","Número de VAT"
"Billing Firstname","Nombre de facturación"
"Billing Lastname","Apellido para facturación"
"Account Lock","Bloqueo de cuenta"
"Last Activity","Última actividad"
"Customer Information","Información del cliente"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Si su instalación de Magento tiene varios sitios web, puede editar el alcance para asociar al cliente con un sitio específico."
"Disable Automatic Group Change Based on VAT ID","Desactivar el cambio automático de grupo basado en ID de IVA"
"Send Welcome Email From","Enviar correo de bienvenida desde"
"Are you sure you want to delete this item?","¿Está seguro de que desea borrar este elemento?"
Addresses,Direcciones
"Account Dashboard","Mi panel de control"
